SUCURSAL;FECHA;ARTÍCULO;CANTIDAD;TOTAL
Petrona;45992;2x1;3;-8400
San Telmo;45992;2x1;5;-20700
Callao;45993;2x1;3;-9600
Petrona;45993;2x1;5;-24100
San Telmo;45993;2x1;2;-8300
San Telmo;45994;2x1;6;-25800
Callao;45995;2x1;2;-12400
San Telmo;45995;2x1;2;-6000
Petrona;45996;2x1;2;-4800
San Telmo;45996;2x1;1;-3500
Callao;45998;2x1;3;-17400
Petrona;45998;2x1;1;-6500
Callao;45999;2x1;4;-23600
Petrona;45999;2x1;1;-6500
San Telmo;45999;2x1;6;-24000
Callao;46000;2x1;5;-13800
San Telmo;46001;2x1;3;-12000
Callao;46002;2x1;4;-15800
Callao;46004;2x1;1;-5400
Petrona;46004;2x1;10;-54500
Petrona;46005;2x1;3;-13900
Petrona;46006;2x1;2;-12300
Petrona;46007;2x1;6;-36200
Callao;46008;2x1;5;-9850
Callao;46010;2x1;1;-3500
Callao;46011;2x1;1;-5900
Callao;46012;2x1;6;-21300
Callao;46013;2x1;2;-6300
Callao;46014;2x1;1;-6400
Madero;46015;2x1;1;-2400
San Telmo;46015;2x1;3;-14000
San Telmo;46016;2x1;9;-55550
Callao;46019;2x1;1;-6900
Petrona;46019;2x1;1;-7200
Callao;46020;2x1;1;-2400
Petrona;46020;2x1;6;-35200
San Telmo;46020;2x1;3;-17400
