sucursal;articulo;cantidad;precio promedio;total
Callao;Pan suizo J & Q                                                                                                         ;14;5800;81200
Callao;Pan suizo ROQUEFORT                                                                                                     ;13;5900;76700
Callao;Baguette ojo de bife                                                                                                    ;1;17900;17900
Callao;CROISSANT IBERICO;3;16000;48000
Callao;CROQUE MONSIEUR;3;16000;48000
Callao;empanada bourguinon;1;5000;5000
Callao;LE CROISSANT;3;14000;42000
Callao;bag vianeza pollo                                                                                                       ;1;12500;12500
Callao;BAGUETIN NORDICO                                                                                                        ;5;15900;79500
Callao;Croissant  Madame                                                                                                      ;15;10500;157500
Callao;CROISSANT BRIE                                                                                                          ;14;9500;133000
Callao;CROISSANT FRANCO INGLES                            ;16;10062,5;161000
Callao;CROISSANT MONSIEUR                                                                  ;11;9900;108900
Callao;MEDITERRAN�E CROISSANT (QUESO, HUEVOY TOMATE)                                                                           ;9;8900;80100
Callao;PALTA CROISSANT                                                                                                         ;26;12900;335400
Callao;2 MEDIALUNAS CON JAMON Y QUESO;12;9066,666667;108800
Callao;Bondiola  empanadas                                                                                                     ;6;3500;21000
Callao;empanada blanquette                                                                                                             ;8;3500;28000
Callao;empanadas bourguignon                                                                                                   ;17;3500;59500
Callao;empanadas parisien                                                                                         ;12;3500;42000
Callao;empanadas ratatouille                                                                                                   ;3;3500;10500
Callao;PROMO BONJOUR CROISSANT;63;7544,444444;475300
Callao;PROMO BONJOUR MEDIALUNAS;190;7546,315789;1433800
Callao;PROMO BONJOUR MEDIALUNAS X 2;2;15500;31000
Callao;Ciabatta                                                                                                                ;29;2500;72500
Callao;INTEGRAL 1KG                                                                                                            ;46;6900;317400
Callao;INTEGRAL 500GR                                                                                                          ;18;5400;97200
Callao;PAN LACTAL 1 K                                                                                                          ;1;7500;7500
Callao;PAN LACTAL DE SEMILLAS 1 K                                                                                              ;1;9800;9800
Callao;pan vianez baguetin                                                                                                     ;14;3500;49000
Callao;SEMILLAS 500GR                                                                                                          ;22;5900;129800
Callao;SEMILLAS BAGUETTE 330G                                                                                                  ;11;3500;38500
Callao;TRADITION 1KG                                                                                                           ;66;6400;422400
Callao;TRADITION 500GR                                                                                                         ;16;4900;78400
Callao;TRADITION BAGUETTE 330G                                                                                                 ;29;3000;87000
Callao;Gougere                                                                                                                 ;23;3900;89700
Callao;PALITO PARMIGIANO                                               ;17;5488,235294;93300
Callao;BROWNIE CHOCOLATE Y NUECES                                                                                              ;1;5900;5900
Callao;CANNELE                                                                                                                 ;28;3985,714286;111600
Callao;CARROT CAKE  SIN TACC                                                                                            ;9;7122,222222;64100
Callao;CHEESE CAKE  SIN TACC                                                                                                ;2;6900;13800
Callao;CHEESE CAKE Maracuya                                                                                                    ;7;7071,428571;49500
Callao;CHIPA DE QUESO ( SIN TACC);1;3900;3900
Callao;COOKIE                                                                                                                  ;15;4340;65100
Callao;CRUMBLE DE MANZANA                                                                                                    ;11;7009,090909;77100
Callao;ECLAIR DE CHOCOLATE                                                                                                     ;12;6400;76800
Callao;ECLAIR DE DDL PARIS- BUENOS AIRES                                                              ;2;6200;12400
Callao;ECLAIR DE PISTACHO                                                                                                      ;13;6992,307692;90900
Callao;LEMON PIE INDIVIDUAL                                                                                                    ;11;6954,545455;76500
Callao;PAN DULCE 500G;3;24000;72000
Callao;PARIS BREST                                                                                                             ;4;6900;27600
Callao;PAVLOVA  FRUTAL ;1;29000;29000
Callao;cookie pistacho                                                                                                         ;7;4700;32900
Callao;cookie vegano                                                                                                           ;1;4200;4200
Callao;CROISSANT                                                                                                               ;156;3652,564103;569800
Callao;croissant DDL                                                                                                           ;21;4800;100800
Callao;CROISSANT DE ALMENDRAS                                                                                                  ;52;5448,076923;283300
Callao;CROISSANT DE PISTACHOS                                                                                                  ;54;6011,111111;324600
Callao;croissant frutos rojos                                                                                                  ;12;5400;64800
Callao;Croissant nutela                                                                                                       ;49;5553,061224;272100
Callao;croissant Pastelera                                                                                                     ;21;4800;100800
Callao;Danesa                                                                                                                  ;17;5488,235294;93300
Callao;KOUIGN AMANN                                                                                                            ;8;3900;31200
Callao;lemon croissant                                                                                                         ;8;5400;43200
Callao;medialuna grasa                                                                                                        ;100;2133;213300
Callao;medialuna manteca                                                                                                             ;658;2137,386018;1406400
Callao;mo�o de frutos rojos                                                                                                    ;58;5451,724138;316200
Callao;PAN DE CHOCOLATE                                                                                                        ;59;5400;318600
Callao;PAN DE CHOCOLATE & ALMENDRAS                                                                                            ;3;5900;17700
Callao;pan suizo                                                                                                               ;15;5400;81000
Callao;ROLL DE CANELA                                                                                                          ;43;4941,860465;212500
Callao;ROLL QUESO AZUL Y NUEZ;2;6500;13000
Callao;Scon de queso                                                                                                           ;28;4185,714286;117200
