sucursal;articulo;cantidad;precio promedio;total
Petrona;Pan suizo J & Q                                                                                                         ;7;6000;42000
Petrona;Pan suizo ROQUEFORT                                                                                                     ;5;6200;31000
Petrona;Baguette ojo de bife                                                                                                    ;2;22000;44000
Petrona;CROISSANT CON JAMON Y QUESO ;25;10364;259100
Petrona;CROISSANT IBERICO;2;16900;33800
Petrona;CROQUE MONSIEUR;4;16900;67600
Petrona;bag vianeza pollo                                                                                                       ;13;14900;193700
Petrona;BAGUETIN NORDICO                                                                                                        ;1;17900;17900
Petrona;Croissant  Madame                                                                                                      ;38;10900;414200
Petrona;CROISSANT BRIE                                                                                                          ;14;9900;138600
Petrona;CROISSANT FRANCO INGLES                            ;22;10581,81818;232800
Petrona;CROISSANT MONSIEUR                                                                  ;3;9900;29700
Petrona;MEDITERRAN�E CROISSANT (QUESO, HUEVOY TOMATE)                                                                           ;14;9500;133000
Petrona;PALTA CROISSANT                                                                                                         ;39;13500;526500
Petrona;2 MEDIALUNAS CON JAMON Y QUESO;25;10268;256700
Petrona;Bondiola  empanadas                                                                                                     ;8;3900;31200
Petrona;empanada blanquette                                                                                                             ;7;3900;27300
Petrona;empanadas bourguignon                                                                                                   ;13;3900;50700
Petrona;empanadas parisien                                                                                         ;6;3900;23400
Petrona;empanadas ratatouille                                                                                                   ;4;3900;15600
Petrona;PROMO BONJOUR CROISSANT;63;8579,365079;540500
Petrona;PROMO BONJOUR CROISSANT X 2;1;17900;17900
Petrona;PROMO BONJOUR MEDIALUNAS;188;8627,659574;1622000
Petrona;PROMO BONJOUR MEDIALUNAS X 2;3;17900;53700
Petrona;Ciabatta                                                                                                                ;16;2600;41600
Petrona;INTEGRAL 1KG                                                                                                            ;49;6900;338100
Petrona;INTEGRAL 500GR                                                                                                          ;12;5400;64800
Petrona;pan vianez baguetin                                                                                                     ;6;3600;21600
Petrona;SEMILLAS 500GR                                                                                                          ;10;5900;59000
Petrona;SEMILLAS BAGUETTE 330G                                                                                                  ;9;3600;32400
Petrona;TRADICION BAGUETTE 165 GR                                                                                               ;1;2050;2050
Petrona;TRADITION 1KG                                                                                                           ;35;6500;227500
Petrona;TRADITION 500GR                                                                                                         ;13;4900;63700
Petrona;TRADITION BAGUETTE 330G                                                                                                 ;19;3300;62700
Petrona;Gougere                                                                                                                 ;43;4100;176300
Petrona;PALITO PARMIGIANO                                               ;9;5600;50400
Petrona;BROWNIE CHOCOLATE Y NUECES                                                                                              ;2;5900;11800
Petrona;CANNELE                                                                                                                 ;23;4086,956522;94000
Petrona;CARROT CAKE  SIN TACC                                                                                            ;15;7900;118500
Petrona;CHEESE CAKE  SIN TACC                                                                                                ;1;7900;7900
Petrona;CHEESE CAKE Maracuya                                                                                                    ;18;7966,666667;143400
Petrona;COOKIE                                                                                                                  ;37;6500;240500
Petrona;CRUMBLE DE MANZANA                                                                                                    ;19;7994,736842;151900
Petrona;ECLAIR DE CHOCOLATE                                                                                                     ;18;6950;125100
Petrona;ECLAIR DE DDL PARIS- BUENOS AIRES                                                              ;14;6342,857143;88800
Petrona;ECLAIR DE PISTACHO                                                                                                      ;17;7529,411765;128000
Petrona;LEMON PIE INDIVIDUAL                                                                                                    ;23;7952,173913;182900
Petrona;Marquise ch sinTACC                                                                                                     ;5;7900;39500
Petrona;PAN DULCE 500G;1;30000;30000
Petrona;PAVLOVA  FRUTAL ;1;30000;30000
Petrona;cookie pistacho                                                                                                         ;10;6900;69000
Petrona;cookie vegano                                                                                                           ;6;4400;26400
Petrona;CROISSANT                                                                                                               ;100;3753;375300
Petrona;croissant DDL                                                                                                           ;20;5500;110000
Petrona;CROISSANT DE ALMENDRAS                                                                                                  ;62;5948,387097;368800
Petrona;CROISSANT DE PISTACHOS                                                                                                  ;49;6614,285714;324100
Petrona;croissant frutos rojos                                                                                                  ;5;5600;28000
Petrona;Croissant nutela                                                                                                       ;47;6065,957447;285100
Petrona;croissant Pastelera                                                                                                     ;30;5500;165000
Petrona;Danesa                                                                                                                  ;12;5625;67500
Petrona;KOUIGN AMANN                                                                                                            ;13;3992,307692;51900
Petrona;medialuna grasa                                                                                                        ;109;2446,788991;266700
Petrona;medialuna manteca                                                                                                             ;444;2425;1076700
Petrona;mo�o de frutos rojos                                                                                                    ;27;5922,222222;159900
Petrona;PAN DE CHOCOLATE                                                                                                        ;59;5508,474576;325000
Petrona;PAN DE CHOCOLATE & ALMENDRAS                                                                                            ;1;6100;6100
Petrona;pan suizo                                                                                                               ;38;5923,684211;225100
Petrona;ROLL DE CANELA                                                                                                          ;23;5030,434783;115700
Petrona;Scon de queso                                                                                                           ;46;4419,565217;203300
