sucursal;articulo;cantidad;precio promedio;total
San Telmo;Pan suizo J & Q                                                                                                         ;9;5800;52200
San Telmo;Pan suizo ROQUEFORT                                                                                                     ;19;5900;112100
San Telmo;Baguette ojo de bife                                                                                                    ;7;17900;125300
San Telmo;CROISSANT CON JAMON Y QUESO ;2;10900;21800
San Telmo;CROQUE MONSIEUR;4;16000;64000
San Telmo;empanada bourguinon;2;5000;10000
San Telmo;LE CROISSANT;6;14000;84000
San Telmo;bag vianeza pollo                                                                                                       ;2;12500;25000
San Telmo;BAGUETIN NORDICO                                                                                                        ;5;15900;79500
San Telmo;Croissant  Madame                                                                                                      ;13;10500;136500
San Telmo;CROISSANT BRIE                                                                                                          ;33;9500;313500
San Telmo;CROISSANT FRANCO INGLES                            ;29;9810,344828;284500
San Telmo;CROISSANT MONSIEUR                                                                  ;20;9900;198000
San Telmo;MEDITERRANÉE CROISSANT (QUESO, HUEVOY TOMATE)                                                                           ;4;8900;35600
San Telmo;PALTA CROISSANT                                                                                                         ;31;12900;399900
San Telmo;2 MEDIALUNAS CON JAMON Y QUESO;22;8900;195800
San Telmo;Bondiola  empanadas                                                                                                     ;17;3500;59500
San Telmo;empanada blanquette                                                                                                             ;11;3500;38500
San Telmo;empanadas bourguignon                                                                                                   ;34;3500;119000
San Telmo;empanadas parisien                                                                                         ;9;3500;31500
San Telmo;empanadas ratatouille                                                                                                   ;11;3500;38500
San Telmo;PROMO BONJOUR CROISSANT;73;7593,150685;554300
San Telmo;PROMO BONJOUR CROISSANT X 2;5;15500;77500
San Telmo;PROMO BONJOUR MEDIALUNAS;147;7535,37415;1107700
San Telmo;PROMO BONJOUR MEDIALUNAS X 2;5;15500;77500
San Telmo;Ciabatta                                                                                                                ;16;2500;40000
San Telmo;INTEGRAL 1KG                                                                                                            ;75;6900;517500
San Telmo;INTEGRAL 500GR                                                                                                          ;26;5400;140400
San Telmo;PAN LACTAL 1 K                                                                                                          ;9;7500;67500
San Telmo;PAN LACTAL DE SEMILLAS 1 K                                                                                              ;11;9800;107800
San Telmo;pan vianez baguetin                                                                                                     ;1;3500;3500
San Telmo;SEMILLAS 500GR                                                                                                          ;21;5900;123900
San Telmo;SEMILLAS BAGUETTE 330G                                                                                                  ;18;3500;63000
San Telmo;TRADITION 1KG                                                                                                           ;85;6400;544000
San Telmo;TRADITION 500GR                                                                                                         ;26;4900;127400
San Telmo;TRADITION BAGUETTE 330G                                                                                                 ;34;3000;102000
San Telmo;Gougere                                                                                                                 ;30;3900;117000
San Telmo;PALITO PARMIGIANO                                               ;15;5433,333333;81500
San Telmo;BROWNIE CHOCOLATE Y NUECES                                                                                              ;4;5900;23600
San Telmo;CANNELE                                                                                                                 ;30;4000;120000
San Telmo;CARROT CAKE  SIN TACC                                                                                            ;16;7087,5;113400
San Telmo;CHEESE CAKE  SIN TACC                                                                                                ;2;6900;13800
San Telmo;CHEESE CAKE Maracuya                                                                                                    ;17;6900;117300
San Telmo;CHIPA DE QUESO ( SIN TACC);2;3900;7800
San Telmo;COOKIE                                                                                                                  ;29;4272,413793;123900
San Telmo;CRUMBLE DE MANZANA                                                                                                    ;15;7020;105300
San Telmo;ECLAIR DE CHOCOLATE                                                                                                     ;19;6478,947368;123100
San Telmo;ECLAIR DE DDL PARIS- BUENOS AIRES                                                              ;9;6033,333333;54300
San Telmo;ECLAIR DE PISTACHO                                                                                                      ;23;6952,173913;159900
San Telmo;LEMON PIE INDIVIDUAL                                                                                                    ;22;6954,545455;153000
San Telmo;Marquise ch sinTACC                                                                                                     ;7;6900;48300
San Telmo;PAN DULCE 500G;4;24000;96000
San Telmo;PARIS BREST                                                                                                             ;9;6900;62100
San Telmo;cookie pistacho                                                                                                         ;19;4868,421053;92500
San Telmo;CROISSANT                                                                                                               ;171;3630,994152;620900
San Telmo;croissant DDL                                                                                                           ;40;4800;192000
San Telmo;CROISSANT DE ALMENDRAS                                                                                                  ;63;5487,301587;345700
San Telmo;CROISSANT DE PISTACHOS                                                                                                  ;74;6062,162162;448600
San Telmo;croissant frutos rojos                                                                                                  ;8;5400;43200
San Telmo;Croissant nutela                                                                                                       ;90;5566,666667;501000
San Telmo;croissant Pastelera                                                                                                     ;64;4800;307200
San Telmo;Danesa                                                                                                                  ;27;5492,592593;148300
San Telmo;KOUIGN AMANN                                                                                                            ;17;3935,294118;66900
San Telmo;lemon croissant                                                                                                         ;7;5400;37800
San Telmo;medialuna grasa                                                                                                        ;106;2128,301887;225600
San Telmo;medialuna manteca                                                                                                             ;435;2137,241379;929700
San Telmo;moño de frutos rojos                                                                                                    ;73;5461,643836;398700
San Telmo;PAN DE CHOCOLATE                                                                                                        ;78;5400;421200
San Telmo;PAN DE CHOCOLATE & ALMENDRAS                                                                                            ;5;5900;29500
San Telmo;pan suizo                                                                                                               ;30;5500;165000
San Telmo;ROLL DE CANELA                                                                                                          ;48;5012,5;240600
San Telmo;ROLL QUESO AZUL Y NUEZ;1;6500;6500
San Telmo;Scon de queso                                                                                                           ;32;4087,5;130800
