"sucursal	articulo	cantidad	total"
"petrona           	Bondiola  empanadas                                                                                                     	8	15600"
"petrona           	CANNELE                                                                                                                 	3	6000"
"petrona           	CANNELE                                                                                                                 	8	16000"
"petrona           	CANNELE                                                                                                                 	10	20000"
"petrona           	CANNELE                                                                                                                 	10	20000"
"petrona           	CANNELE                                                                                                                 	3	6000"
"petrona           	CARROT CAKE  SIN TACC                                                                                            	7	27650"
"petrona           	CARROT CAKE  SIN TACC                                                                                            	5	19750"
"petrona           	CARROT CAKE  SIN TACC                                                                                            	8	31600"
"petrona           	CARROT CAKE  SIN TACC                                                                                            	3	11850"
"petrona           	CHEESE CAKE  SIN TACC                                                                                                	3	11850"
"petrona           	CHEESE CAKE  SIN TACC                                                                                                	7	27650"
"petrona           	CHEESE CAKE Maracuya                                                                                                    	5	19750"
"petrona           	CHEESE CAKE Maracuya                                                                                                    	10	39500"
"petrona           	CHEESE CAKE Maracuya                                                                                                    	3	11850"
"petrona           	Ciabatta                                                                                                                	23	29900"
"petrona           	Ciabatta                                                                                                                	23	29900"
"petrona           	Ciabatta                                                                                                                	35	45500"
"petrona           	Ciabatta                                                                                                                	41	53300"
"petrona           	Ciabatta                                                                                                                	8	11200"
"petrona           	COOKIE                                                                                                                  	3	9750"
"petrona           	COOKIE                                                                                                                  	9	29250"
"petrona           	COOKIE                                                                                                                  	6	19500"
"petrona           	COOKIE                                                                                                                  	9	29250"
"petrona           	COOKIE                                                                                                                  	3	9750"
"petrona           	cookie pistacho                                                                                                         	2	6900"
"petrona           	cookie pistacho                                                                                                         	4	13800"
"petrona           	cookie pistacho                                                                                                         	3	10350"
"petrona           	cookie pistacho                                                                                                         	5	17250"
"petrona           	cookie vegano                                                                                                           	4	8800"
"petrona           	cookie vegano                                                                                                           	1	2200"
"petrona           	cookie vegano                                                                                                           	3	6600"
"petrona           	CROISSANT                                                                                                               	119	214200"
"petrona           	CROISSANT                                                                                                               	129	232200"
"petrona           	CROISSANT                                                                                                               	102	183600"
"petrona           	CROISSANT                                                                                                               	120	216000"
"petrona           	CROISSANT                                                                                                               	32	72000"
"petrona           	croissant DDL                                                                                                           	16	44000"
"petrona           	croissant DDL                                                                                                           	12	33000"
"petrona           	croissant DDL                                                                                                           	10	27500"
"petrona           	croissant DDL                                                                                                           	8	22000"
"petrona           	croissant DDL                                                                                                           	3	8250"
"petrona           	CROISSANT DE ALMENDRAS                                                                                                  	31	91450"
"petrona           	CROISSANT DE ALMENDRAS                                                                                                  	24	70800"
"petrona           	CROISSANT DE ALMENDRAS                                                                                                  	31	91450"
"petrona           	CROISSANT DE ALMENDRAS                                                                                                  	24	70800"
"petrona           	CROISSANT DE ALMENDRAS                                                                                                  	9	27900"
"petrona           	CROISSANT DE PISTACHOS                                                                                                  	27	87750"
"petrona           	CROISSANT DE PISTACHOS                                                                                                  	24	78000"
"petrona           	CROISSANT DE PISTACHOS                                                                                                  	29	94250"
"petrona           	CROISSANT DE PISTACHOS                                                                                                  	22	71500"
"petrona           	CROISSANT DE PISTACHOS                                                                                                  	8	28800"
"petrona           	croissant frutos rojos                                                                                                  	10	28000"
"petrona           	croissant frutos rojos                                                                                                  	9	25200"
"petrona           	croissant frutos rojos                                                                                                  	8	22400"
"petrona           	Croissant nutela                                                                                                       	27	79650"
"petrona           	Croissant nutela                                                                                                       	24	70800"
"petrona           	Croissant nutela                                                                                                       	27	79650"
"petrona           	Croissant nutela                                                                                                       	23	67850"
"petrona           	Croissant nutela                                                                                                       	9	32400"
"petrona           	croissant Pastelera                                                                                                     	14	38500"
"petrona           	croissant Pastelera                                                                                                     	13	35750"
"petrona           	croissant Pastelera                                                                                                     	17	46750"
"petrona           	croissant Pastelera                                                                                                     	14	38500"
"petrona           	croissant Pastelera                                                                                                     	6	16500"
"petrona           	CRUMBLE DE MANZANA                                                                                                    	7	27650"
"petrona           	CRUMBLE DE MANZANA                                                                                                    	5	19750"
"petrona           	CRUMBLE DE MANZANA                                                                                                    	10	39500"
"petrona           	CRUMBLE DE MANZANA                                                                                                    	3	11850"
"petrona           	Danesa                                                                                                                  	9	22950"
"petrona           	Danesa                                                                                                                  	12	30600"
"petrona           	Danesa                                                                                                                  	6	15300"
"petrona           	Danesa                                                                                                                  	6	15300"
"petrona           	ECLAIR DE CHOCOLATE                                                                                                     	13	44850"
"petrona           	ECLAIR DE CHOCOLATE                                                                                                     	6	20700"
"petrona           	ECLAIR DE CHOCOLATE                                                                                                     	5	17250"
"petrona           	ECLAIR DE CHOCOLATE                                                                                                     	9	31050"
"petrona           	ECLAIR DE CHOCOLATE                                                                                                     	3	10350"
"petrona           	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	4	12600"
"petrona           	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	6	18900"
"petrona           	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	4	12600"
"petrona           	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	8	25200"
"petrona           	ECLAIR DE DDL PARIS- BUENOS AIRES                                                              	3	9450"
"petrona           	ECLAIR DE PISTACHO                                                                                                      	4	15000"
"petrona           	ECLAIR DE PISTACHO                                                                                                      	6	22500"
"petrona           	ECLAIR DE PISTACHO                                                                                                      	5	18750"
"petrona           	ECLAIR DE PISTACHO                                                                                                      	8	30000"
"petrona           	ECLAIR DE PISTACHO                                                                                                      	3	11250"
"petrona           	empanada blanquette                                                                                                             	8	15600"
"petrona           	empanadas bourguignon                                                                                                   	15	29250"
"petrona           	empanadas parisien                                                                                         	8	15600"
"petrona           	Gougere                                                                                                                 	15	30750"
"petrona           	Gougere                                                                                                                 	14	28700"
"petrona           	Gougere                                                                                                                 	20	41000"
"petrona           	Gougere                                                                                                                 	15	30750"
"petrona           	Gougere                                                                                                                 	5	10250"
"petrona           	INTEGRAL 1KG                                                                                                            	35	120750"
"petrona           	INTEGRAL 1KG                                                                                                            	37	127650"
"petrona           	INTEGRAL 1KG                                                                                                            	37	127650"
"petrona           	INTEGRAL 1KG                                                                                                            	33	113850"
"petrona           	INTEGRAL 1KG                                                                                                            	3	10800"
"petrona           	INTEGRAL 500GR                                                                                                          	6	16200"
"petrona           	INTEGRAL 500GR                                                                                                          	7	18900"
"petrona           	INTEGRAL 500GR                                                                                                          	7	18900"
"petrona           	INTEGRAL 500GR                                                                                                          	7	18900"
"petrona           	INTEGRAL 500GR                                                                                                          	3	8850"
"petrona           	KOUIGN AMANN                                                                                                            	6	11700"
"petrona           	KOUIGN AMANN                                                                                                            	6	11700"
"petrona           	KOUIGN AMANN                                                                                                            	9	17550"
"petrona           	KOUIGN AMANN                                                                                                            	7	13650"
"petrona           	KOUIGN AMANN                                                                                                            	2	3900"
"petrona           	lemon croissant                                                                                                         	10	28000"
"petrona           	lemon croissant                                                                                                         	9	25200"
"petrona           	lemon croissant                                                                                                         	8	22400"
"petrona           	LEMON PIE INDIVIDUAL                                                                                                    	7	27650"
"petrona           	LEMON PIE INDIVIDUAL                                                                                                    	5	19750"
"petrona           	LEMON PIE INDIVIDUAL                                                                                                    	12	47400"
"petrona           	LEMON PIE INDIVIDUAL                                                                                                    	3	11850"
"petrona           	Marquise ch sinTACC                                                                                                     	3	11850"
"petrona           	Marquise ch sinTACC                                                                                                     	3	11850"
"petrona           	Marquise ch sinTACC                                                                                                     	3	11850"
"petrona           	Marquise ch sinTACC                                                                                                     	1	3950"
"petrona           	medialuna grasa                                                                                                        	64	76800"
"petrona           	medialuna grasa                                                                                                        	56	67200"
"petrona           	medialuna grasa                                                                                                        	68	81600"
"petrona           	medialuna grasa                                                                                                        	66	79200"
"petrona           	medialuna grasa                                                                                                        	22	26400"
"petrona           	medialuna manteca                                                                                                             	310	372000"
"petrona           	medialuna manteca                                                                                                             	285	342000"
"petrona           	medialuna manteca                                                                                                             	323	387600"
"petrona           	medialuna manteca                                                                                                             	298	357600"
"petrona           	medialuna manteca                                                                                                             	104	140400"
"petrona           	moño de frutos rojos                                                                                                    	26	76700"
"petrona           	moño de frutos rojos                                                                                                    	28	82600"
"petrona           	moño de frutos rojos                                                                                                    	28	82600"
"petrona           	moño de frutos rojos                                                                                                    	22	64900"
"petrona           	moño de frutos rojos                                                                                                    	10	31000"
"petrona           	PALITO PARMIGIANO                                               	7	19600"
"petrona           	PALITO PARMIGIANO                                               	7	19600"
"petrona           	PALITO PARMIGIANO                                               	7	19600"
"petrona           	PALITO PARMIGIANO                                               	6	16800"
"petrona           	PALITO PARMIGIANO                                               	3	8400"
"petrona           	PAN DE CHOCOLATE                                                                                                        	25	67500"
"petrona           	PAN DE CHOCOLATE                                                                                                        	28	75600"
"petrona           	PAN DE CHOCOLATE                                                                                                        	30	81000"
"petrona           	PAN DE CHOCOLATE                                                                                                        	24	64800"
"petrona           	PAN DE CHOCOLATE                                                                                                        	10	27000"
"petrona           	PAN DE CHOCOLATE & ALMENDRAS                                                                                            	9	27450"
"petrona           	PAN DULCE 500G	3	45000"
"petrona           	PAN DULCE 500G	26	390000"
"petrona           	PAN DULCE 500G	1	15000"
"petrona           	PAN LACTAL 1 K                                                                                                          	11	44000"
"petrona           	PAN LACTAL 1 K                                                                                                          	11	44000"
"petrona           	PAN LACTAL 1 K                                                                                                          	9	36000"
"petrona           	PAN LACTAL 1 K                                                                                                          	10	40000"
"petrona           	PAN LACTAL 1 K                                                                                                          	2	8000"
"petrona           	PAN LACTAL DE SEMILLAS 1 K                                                                                              	11	53900"
"petrona           	PAN LACTAL DE SEMILLAS 1 K                                                                                              	11	53900"
"petrona           	PAN LACTAL DE SEMILLAS 1 K                                                                                              	9	44100"
"petrona           	PAN LACTAL DE SEMILLAS 1 K                                                                                              	12	58800"
"petrona           	PAN LACTAL DE SEMILLAS 1 K                                                                                              	4	19600"
"petrona           	pan suizo                                                                                                               	14	41300"
"petrona           	pan suizo                                                                                                               	14	41300"
