sucursal	articulo	cantidad	precio promedio	total
Callao	Pan suizo J & Q                                                                                                         	14	$  5.800,0	$  81.200,0
Madero	Pan suizo J & Q                                                                                                         	13	$  6.000,0	$  78.000,0
Petrona	Pan suizo J & Q                                                                                                         	7	$  6.000,0	$  42.000,0
San Telmo	Pan suizo J & Q                                                                                                         	9	$  5.800,0	$  52.200,0
Callao	Pan suizo ROQUEFORT                                                                                                     	13	$  5.900,0	$  76.700,0
Madero	Pan suizo ROQUEFORT                                                                                                     	6	$  6.200,0	$  37.200,0
Petrona	Pan suizo ROQUEFORT                                                                                                     	5	$  6.200,0	$  31.000,0
San Telmo	Pan suizo ROQUEFORT                                                                                                     	19	$  5.900,0	$  112.100,0
Callao	Baguette ojo de bife                                                                                                    	1	$  17.900,0	$  17.900,0
Madero	Baguette ojo de bife                                                                                                    	8	$  22.000,0	$  176.000,0
Petrona	Baguette ojo de bife                                                                                                    	2	$  22.000,0	$  44.000,0
San Telmo	Baguette ojo de bife                                                                                                    	7	$  17.900,0	$  125.300,0
Madero	CROISSANT CON JAMON Y QUESO 	36	$  9.966,6667	$  358.800,0
Petrona	CROISSANT CON JAMON Y QUESO 	25	$  10.364,0	$  259.100,0
San Telmo	CROISSANT CON JAMON Y QUESO 	2	$  10.900,0	$  21.800,0
Callao	CROISSANT IBERICO	3	$  16.000,0	$  48.000,0
Madero	CROISSANT IBERICO	4	$  16.900,0	$  67.600,0
Petrona	CROISSANT IBERICO	2	$  16.900,0	$  33.800,0
Callao	CROQUE MONSIEUR	3	$  16.000,0	$  48.000,0
Madero	CROQUE MONSIEUR	1	$  16.900,0	$  16.900,0
Petrona	CROQUE MONSIEUR	4	$  16.900,0	$  67.600,0
San Telmo	CROQUE MONSIEUR	4	$  16.000,0	$  64.000,0
Callao	empanada bourguinon	1	$  5.000,0	$  5.000,0
Madero	empanada bourguinon	1	$  6.000,0	$  6.000,0
San Telmo	empanada bourguinon	2	$  5.000,0	$  10.000,0
Callao	LE CROISSANT	3	$  14.000,0	$  42.000,0
Madero	LE CROISSANT	2	$  14.900,0	$  29.800,0
San Telmo	LE CROISSANT	6	$  14.000,0	$  84.000,0
Callao	bag vianeza pollo                                                                                                       	1	$  12.500,0	$  12.500,0
Madero	bag vianeza pollo                                                                                                       	4	$  14.900,0	$  59.600,0
Petrona	bag vianeza pollo                                                                                                       	13	$  14.900,0	$  193.700,0
San Telmo	bag vianeza pollo                                                                                                       	2	$  12.500,0	$  25.000,0
Callao	BAGUETIN NORDICO                                                                                                        	5	$  15.900,0	$  79.500,0
Madero	BAGUETIN NORDICO                                                                                                        	10	$  17.900,0	$  179.000,0
Petrona	BAGUETIN NORDICO                                                                                                        	1	$  17.900,0	$  17.900,0
San Telmo	BAGUETIN NORDICO                                                                                                        	5	$  15.900,0	$  79.500,0
Callao	Croissant  Madame                                                                                                      	15	$  10.500,0	$  157.500,0
Madero	Croissant  Madame                                                                                                      	27	$  10.900,0	$  294.300,0
Petrona	Croissant  Madame                                                                                                      	38	$  10.900,0	$  414.200,0
San Telmo	Croissant  Madame                                                                                                      	13	$  10.500,0	$  136.500,0
Callao	CROISSANT BRIE                                                                                                          	14	$  9.500,0	$  133.000,0
Madero	CROISSANT BRIE                                                                                                          	14	$  9.900,0	$  138.600,0
Petrona	CROISSANT BRIE                                                                                                          	14	$  9.900,0	$  138.600,0
San Telmo	CROISSANT BRIE                                                                                                          	33	$  9.500,0	$  313.500,0
Callao	CROISSANT FRANCO INGLES                            	16	$  10.062,50	$  161.000,0
Madero	CROISSANT FRANCO INGLES                            	25	$  10.900,0	$  272.500,0
Petrona	CROISSANT FRANCO INGLES                            	22	$  10.581,8182	$  232.800,0
San Telmo	CROISSANT FRANCO INGLES                            	29	$  9.810,3448	$  284.500,0
Callao	CROISSANT MONSIEUR                                                                  	11	$  9.900,0	$  108.900,0
Madero	CROISSANT MONSIEUR                                                                  	16	$  9.900,0	$  158.400,0
Petrona	CROISSANT MONSIEUR                                                                  	3	$  9.900,0	$  29.700,0
